Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-12-31,62.5081,62.9148,62.1609,62.3619,12853388.087061
2022-01-03,62.4469,62.9517,61.9695,62.1657,24113954.850177
2022-01-04,62.1241,62.9969,61.5948,62.8781,22516925.937697
2022-01-05,62.9053,62.9053,60.1691,60.2615,37303950.019962
2022-01-06,59.9956,60.7909,59.4587,59.702,30496612.293307
2022-01-07,59.5917,59.9718,57.9622,58.0262,29696810.124202
2022-01-10,57.0619,58.2972,56.5667,58.2151,31789921.143769
2022-01-11,57.6886,58.8557,57.5971,58.2981,20312223.735069
2022-01-12,58.8104,59.136,58.0821,58.2934,20066657.421884
2022-01-13,58.8067,58.8444,55.6836,55.9685,32061517.274182
2022-01-14,55.8365,56.2676,55.4815,55.891,27382572.839713
2022-01-18,55.1372,55.392,53.9815,54.1503,38238606.991351
2022-01-19,54.5052,54.8004,52.7953,52.8547,24212361.549267
2022-01-20,53.2322,53.4335,51.2434,51.332,26915170.164798
2022-01-21,51.231,52.0519,49.7969,49.9741,40557666.575042
2022-01-24,49.7543,50.9376,48.1155,50.7564,57903847.748935
2022-01-25,49.4836,51.115,49.1299,50.0592,40715329.262782
2022-01-26,51.733,53.8108,51.5528,52.2132,53046404.054791
2022-01-27,53.3936,53.4435,50.7044,50.8253,36502028.158901
2022-01-28,50.9234,52.5303,49.8949,52.4925,32281011.376299
2022-01-31,52.4265,54.9542,52.1084,54.9079,42988306.743335
2022-02-01,54.9071,55.66,53.9664,55.5496,27443015.855858
2022-02-02,56.1385,56.6819,55.6344,56.5535,26081399.93209
2022-02-03,55.8261,56.1404,54.3683,54.4373,32652476.793251
2022-02-04,54.0182,55.9062,53.9956,55.3099,21925447.094098
2022-02-07,55.3099,56.3799,54.7476,55.0722,19924351.902372
2022-02-08,55.1428,56.4054,55.0128,56.2525,15548237.259296
2022-02-09,56.9206,57.33,56.378,57.2941,23478132.050844
2022-02-10,55.7913,57.6036,55.1609,55.4222,26589468.897192
2022-02-11,55.4222,56.2092,53.3332,53.7408,29108796.976953
2022-02-14,53.889,54.6211,53.4266,54.2241,20583650.290125
2022-02-15,55.2031,56.7979,55.1307,56.4911,36581866.356452
2022-02-16,55.6751,56.3071,55.0344,55.9705,24468134.179221
2022-02-17,55.2664,55.443,54.2532,54.2635,22860051.073188
2022-02-18,54.4456,55.0825,53.7277,54.356,21028393.45802
2022-02-22,54.356,55.3147,53.4021,54.1192,21558157.470301
