Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-12-31,89.9851,91.1064,89.9458,90.6669,992498.09923681
2022-01-03,91.5448,92.5582,91.2182,92.0814,1656124.7861824
2022-01-04,93.3675,96.7019,93.3675,95.8543,2428212.5042402
2022-01-05,96.4194,97.4818,94.635,94.7135,2981997.9193183
2022-01-06,95.9711,97.2679,94.7331,96.439,2558841.9959919
2022-01-07,96.1761,99.7562,96.0005,99.1089,4426718.5481572
2022-01-10,99.6395,99.8255,97.2483,98.658,3421190.7315389
2022-01-11,99.3544,99.972,98.0204,99.7859,2557921.495695
2022-01-12,100.11,101.1,99.6296,100.738,2880429.9369414
2022-01-13,100.964,102.239,100.463,100.846,2028438.1039603
2022-01-14,99.5118,101.268,98.3539,101.17,3371326.7309572
2022-01-18,99.972,100.198,97.6868,98.4716,3743326.0796416
2022-01-19,99.5999,100.071,91.4379,91.5252,4196439.5475155
2022-01-20,91.4958,94.4986,89.7604,91.847,3520716.8954276
2022-01-21,91.6419,91.6419,88.1516,88.7078,3341426.2716993
2022-01-24,86.3093,92.052,84.984,91.4477,5151800.6076407
2022-01-25,89.8585,92.9389,88.3076,91.7685,5361496.2838129
2022-01-26,93.0653,94.4594,90.8915,91.9539,3709131.9910916
2022-01-27,93.9532,94.6693,89.8635,90.7846,2504667.0366554
2022-01-28,90.4236,91.4183,88.7667,91.3005,1825672.1742095
2022-01-31,90.3068,92.3247,89.4975,92.1295,2602978.099377
2022-02-01,92.5778,94.3034,91.7783,94.0895,1916715.056292
2022-02-02,93.3292,95.1813,92.9487,95.1225,1829662.0282098
2022-02-03,95.0057,96.236,94.1867,94.6546,2053002.1080083
2022-02-04,94.6252,97.3847,94.4408,96.4096,2346886.3539744
2022-02-07,96.3704,97.4425,95.717,96.8382,1780077.3377958
2022-02-08,97.4916,99.4821,97.3994,99.296,2128904.1363694
2022-02-09,99.6583,99.9136,98.3048,99.1188,1125722.9329111
2022-02-10,98.7856,101.16,98.0694,98.8444,1760006.7615539
2022-02-11,98.4618,100.227,95.766,96.6822,2112453.3791246
2022-02-14,97.1217,97.4916,95.3295,96.2046,1669641.767287
2022-02-15,97.5112,98.1282,96.5949,97.8046,1125495.6111323
2022-02-16,96.9658,98.246,96.5067,97.7653,1472038.9981165
2022-02-17,96.1173,96.234,90.9887,91.3005,2493701.5641258
2022-02-18,90.5599,91.691,89.8095,91.0475,2833272.3907212
2022-02-22,90.765,92.0128,89.1169,90.1116,2063708.6579738
2022-02-23,90.7454,91.1259,84.623,85.0419,2890097.7385097
2022-02-24,81.6006,83.6872,80.0605,83.3359,3327951.0851819
2022-02-25,83.8235,86.8165,83.6381,86.5143,2234533.3293587
2022-02-28,83.4821,84.2129,81.8537,83.1898,3804939.4561064
2022-03-01,82.2146,82.4098,77.4961,78.8606,4065777.4355982
2022-03-02,80.0605,82.556,79.6896,81.8351,2780025.0673427
2022-03-03,81.9518,82.9995,80.5529,81.8351,1913996.3693685
2022-03-04,79.6798,79.6798,77.4569,78.4909,3355363.2374356
2022-03-07,77.9935,78.5488,76.161,76.2091,2117936.6250794
2022-03-08,77.4569,79.4846,75.5753,77.3695,2278840.6886129
2022-03-09,80.3136,82.6777,80.1478,81.4838,2754540.5629977
2022-03-10,79.6504,81.474,79.5238,80.8403,2123628.8439699
2022-03-11,81.8439,82.7218,79.9437,80.031,1571087.0727039
2022-03-14,81.5908,83.024,80.801,81.2592,1544863.5177328
2022-03-15,81.8929,82.454,81.0307,81.8635,1420418.6054954
2022-03-16,83.5989,85.6953,83.38,85.2567,1914183.9353205
2022-03-17,83.9501,86.0268,83.2388,85.8413,1559728.1194271
2022-03-18,86.0562,86.9627,84.4081,86.6997,3098376.4762403
2022-03-21,86.8263,87.2844,85.2371,86.1435,1417840.593036
2022-03-22,87.3139,88.8148,87.3139,88.0643,2397432.3198923
2022-03-23,87.0019,87.8789,85.1586,85.2862,1887687.1864628
2022-03-24,85.9394,86.9038,84.9055,86.7772,1379321.2744085
2022-03-25,86.7096,88.5322,86.5241,88.2595,1104609.5307513
2022-03-28,88.1908,88.1908,86.6213,87.8494,1538831.8452444
2022-03-29,89.9164,90.2087,88.649,89.6633,2179795.6721662
2022-03-30,89.468,89.8585,88.9325,89.7996,2610512.3382416
2022-03-31,88.5146,89.2111,85.3068,85.4637,3146783.7825536
2022-04-01,86.582,86.9008,83.7371,84.1786,2105221.8961716
2022-04-04,84.002,85.0219,82.5502,84.208,2880746.9641754
2022-04-05,83.7175,84.777,82.9523,83.6882,1810540.4949097
2022-04-06,82.7856,83.0826,81.8733,82.1087,1481666.0244779
2022-04-07,81.4711,82.9916,80.1566,82.3638,1853332.0358455
2022-04-08,82.8935,83.4036,81.8341,82.5698,1176850.9649082
2022-04-11,82.0989,82.6237,80.9021,81.1474,2170033.0682416
2022-04-12,80.6765,82.8543,80.2105,80.6863,1963005.1099843
2022-04-13,79.9309,81.3043,79.2344,81.2748,2507433.6344471
2022-04-14,81.7163,83.1289,74.2118,74.3688,5922834.2865987
2022-04-18,73.1229,73.3779,71.0236,72.9659,5459144.7494216
2022-04-19,73.6918,74.4521,72.7893,73.4859,4707012.4176462
2022-04-20,74.2903,75.85,73.5742,74.4668,2629844.8832376
2022-04-21,75.5655,76.0462,72.7109,73.1621,2445085.2848769
2022-04-22,73.0051,73.0934,69.405,69.5226,3391615.4545564
2022-04-25,68.6691,69.8071,67.0015,69.6011,4056358.3627923
2022-04-26,68.6691,69.7875,66.4423,66.4423,3290661.1390441
2022-04-27,66.0891,66.6778,65.2063,65.5889,4050001.5080285
2022-04-28,67.0603,67.8745,65.5497,67.5313,2561059.1478699
2022-04-29,67.4822,68.4828,65.4809,65.6968,3669048.9432776
2022-05-02,65.9224,67.4969,65.3446,67.2762,2740184.6320101
2022-05-03,67.8255,69.3657,67.3841,68.5808,2763673.1899749
2022-05-04,68.4142,71.6808,68.3749,71.3767,2030659.333359
2022-05-05,69.9249,70.3663,68.4338,69.866,2657957.3496708
2022-05-06,69.7286,69.915,67.6803,68.7967,2003326.6927589
2022-05-09,67.5901,68.7722,66.7465,67.9334,2891954.0298062
2022-05-10,68.8752,69.0518,65.3142,66.4227,2669874.9232826
2022-05-11,66.9034,67.8844,64.9905,65.0494,3592441.5038363
2022-05-12,64.7452,67.5214,64.549,66.3344,3478263.7887096
2022-05-13,67.3056,68.6397,67.1584,67.8942,2135104.0065864
2022-05-16,67.3154,67.8647,66.1578,67.0113,1672979.217976
2022-05-17,68.7084,69.5422,67.8745,68.3357,4075948.8109724
2022-05-18,67.6588,67.698,65.3828,65.6968,2973371.9242876
2022-05-19,64.2842,65.53,64.1665,64.706,3232703.2598825
2022-05-20,65.5496,66.2461,64.5392,66.1872,3971920.0448559
2022-05-23,68.1002,68.9203,66.8102,68.4043,2303695.2160105
2022-05-24,67.7275,68.1689,65.8145,67.3645,1587482.7834192
2022-05-25,67.2762,68.4142,66.7465,67.9825,1591986.4050271
2022-05-26,69.091,69.9837,68.8998,69.6403,1558839.2199156
2022-05-27,69.8366,71.7103,69.4441,71.6514,3100940.2173775
2022-05-31,70.9059,72.0436,69.9445,71.1118,6460356.510384
2022-06-01,70.9745,71.1412,68.1493,68.6201,3012593.5958547
2022-06-02,69.0321,71.7593,68.9537,71.7397,2473510.7010233
2022-06-03,70.8274,71.2491,69.915,69.9445,1277239.524424
2022-06-06,71.053,71.671,69.8562,70.0524,1244583.6805564
2022-06-07,69.1204,71.7103,69.1204,71.622,2125863.3253109
2022-06-08,70.7587,70.9205,66.8053,67.7275,7413605.414789
2022-06-09,67.7764,69.8169,66.7955,66.8446,4482867.0275102
2022-06-10,65.3436,65.4417,63.5533,63.9899,2827120.4313723
2022-06-13,62.4007,63.0383,60.89,61.8709,4265456.6821826
2022-06-14,62.1358,62.7243,60.6643,60.9979,3404556.4858628
2022-06-15,61.9494,63.8721,61.3706,62.7243,3286791.5719043
2022-06-16,60.8115,61.5178,60.1248,61.145,2655542.438039
2022-06-17,61.5178,62.4497,60.5319,60.576,6976228.1186579
2022-06-21,61.9003,62.8715,61.3952,62.5871,2785900.7746646
2022-06-22,61.6061,62.5871,61.4795,62.126,1934812.1125174
2022-06-23,61.714,61.9641,60.1444,61.6944,2268317.6270788
2022-06-24,62.0573,65.2161,62.0475,65.0101,2515245.1447189
2022-06-27,65.3436,65.5987,63.47,63.9702,2847552.887576
2022-06-28,63.8525,65.2259,63.16,63.264,2043028.4923879
2022-06-29,63.3424,64.8335,62.6361,62.8617,2071601.7186595
2022-06-30,61.0801,61.862,59.922,61.0207,3211465.6769906
2022-07-01,60.5951,63.0003,60.2388,62.7331,1979714.7167218
2022-07-05,61.4562,62.446,60.4961,62.4262,1618706.7684352
2022-07-06,61.9709,62.5598,61.0801,61.6344,1764888.9062702
2022-07-07,62.5153,63.4061,62.3569,63.0498,2200447.8252585
2022-07-08,63.317,63.4655,62.1392,62.3866,1292153.512571
2022-07-11,61.5354,62.4309,61.2979,62.06,1858643.8998897
2022-07-12,61.575,63.0943,61.3671,61.7235,2861440.8375603
2022-07-13,60.7337,60.9118,59.541,60.318,2688891.5600943
2022-07-14,58.8234,59.5558,58.1949,59.2292,4363859.609265
2022-07-15,62.9706,66.1478,60.1695,64.9997,8437995.9001364
2022-07-18,65.5144,66.3458,64.0297,64.2969,3510983.9765599
2022-07-19,65.6727,67.2267,65.4055,66.6427,2776014.8614562
2022-07-20,66.3854,66.5339,65.2966,66.2864,2535830.2034017
2022-07-21,66.3656,67.1376,65.7717,67.1277,1845626.0213493
2022-07-22,67.3059,68.4095,66.8902,67.4643,2200696.3621713
2022-07-25,67.9889,68.1769,67.1475,67.7018,1505333.5237101
2022-07-26,67.1475,67.6325,66.2171,66.3062,1772875.4277961
2022-07-27,66.9595,68.6322,66.3161,68.2066,1491840.7982226
2022-07-28,68.4046,69.3102,67.2267,69.2558,1981488.8257414
2022-07-29,69.236,70.7751,69.236,70.3149,4032544.7498648
2022-08-01,69.3548,70.1565,68.5728,69.6418,1803978.9131467
2022-08-02,68.8005,69.4241,68.1472,68.5134,1434284.2966654
2022-08-03,69.5923,70.3743,68.8005,70.2951,1753291.5273206
2022-08-04,70.3545,70.8988,69.523,69.6121,1823354.6892156
2022-08-05,69.137,70.3347,68.9786,69.9387,1485613.2310264
2022-08-08,70.6613,70.9038,69.5725,69.5824,1296832.2704693
2022-08-09,69.8299,70.0224,69.0875,69.6616,903818.62763253
2022-08-10,71.1562,72.3439,71.0176,71.7798,1211681.099407
2022-08-11,72.8388,73.3139,72.2648,72.7597,1014758.0291754
2022-08-12,73.3634,74.185,72.9131,74.1652,1602988.3241721
2022-08-15,73.3733,74.0563,73.0764,73.7,1077611.5999749
2022-08-16,73.2249,74.4324,73.2249,73.7198,1425218.7612255
2022-08-17,72.5221,73.7,72.2723,73.2051,1128656.6364804
2022-08-18,72.819,73.5515,72.4231,73.4426,956211.42121773
2022-08-19,72.6607,72.6607,71.2057,71.5224,1350423.2948616
2022-08-22,70.1763,70.691,69.6517,70.1565,1057301.2847016
2022-08-23,70.2159,70.8098,69.9981,70.0476,620631.02179444
2022-08-24,69.82,70.5128,69.2954,69.8101,951869.09743299
2022-08-25,69.9981,71.2156,69.8101,70.9384,985264.98219443
2022-08-26,71.1463,71.4779,68.4145,68.4244,996446.11233071
2022-08-29,67.88,68.6916,67.4544,68.0185,1364283.774155
2022-08-30,68.5728,68.9094,67.494,68.3749,1276868.4924362
2022-08-31,69.0281,69.0281,67.4247,67.6523,1878789.5342004
2022-09-01,67.3059,67.9394,65.9895,67.8899,1399843.7486202
2022-09-02,68.9984,69.7309,66.4943,66.9892,1732312.3850707
2022-09-06,67.4544,67.6078,66.1874,67.3653,1355787.044739
2022-09-07,67.1376,69.2459,66.8605,69.0281,2076794.649284
2022-09-08,68.5332,71.3344,67.8008,71.3245,2479599.2320459
2022-09-09,71.7006,72.532,71.468,72.2549,2666557.588576
2022-09-12,72.8487,73.9771,72.6508,73.4327,3147364.370064
2022-09-13,71.4927,73.0121,71.1463,71.3937,2230732.9573598
2022-09-14,71.3838,71.7699,69.7804,70.6712,2167891.5103121
2022-09-15,70.6712,72.0767,70.493,70.6712,1480826.3696741
2022-09-16,69.6616,69.9091,68.4739,69.3845,2853762.4613937
2022-09-19,68.464,70.5722,68.464,70.1466,1311737.4130464
2022-09-20,69.3746,69.6319,67.7414,68.2462,1706505.9689624
2022-09-21,68.6916,69.5626,67.0683,67.0782,1914658.6643377
2022-09-22,67.494,67.494,65.1877,65.4055,1214751.439561
2022-09-23,64.8215,64.9898,62.0748,62.9805,2581947.945096
2022-09-26,62.5648,63.3467,61.5503,61.9709,3268267.4749957
2022-09-27,62.5054,62.7825,59.6845,60.6545,2837918.7383615
2022-09-28,61.0405,62.931,60.4169,62.5846,2267028.4394368
2022-09-29,61.6245,61.9016,60.6891,61.09,2076187.4513792
2022-09-30,61.54,62.53,60.68,60.81,2403634
2022-10-03,61.56,63.76,60.24,63.11,2621536
2022-10-04,64.31,65.65,64.075,65.61,2287158
2022-10-05,64.23,65.8,64.08,65.43,1304184
2022-10-06,64.92,65.46,63.8703,63.96,1318294
2022-10-07,63.44,63.44,61.63,62.11,1782630
2022-10-10,62.75,63.02,61.35,61.62,1180023
2022-10-11,61,62.07,60.42,60.81,1899617
2022-10-12,60.41,61.5,59.92,60.16,1675432
2022-10-13,59.27,63.89,58.615,63.5,1998630
2022-10-14,63.89,64.93,60.9,61.11,2693135
2022-10-17,62.64,65.32,62.64,63.81,3546230
2022-10-18,65.42,65.58,59.24,64.42,6023369
2022-10-19,63.65,65.95,63.11,64.57,3315015
2022-10-20,64.65,66.4,64.26,64.86,2871184
2022-10-21,64.89,69.31,64.48,69.12,3294813
2022-10-24,69.5,70.95,69.29,70.52,2738148
2022-10-25,70.055,72.67,70,72.05,3145259
2022-10-26,72.49,73.53,71.95,72.28,2281138
2022-10-27,73.17,74.44,72.97,73.1,2184574
2022-10-28,73.4,75.08,72.81,74.78,2373585
2022-10-31,74.15,74.76,73.9,74,2740148
2022-11-01,75.09,75.43,74.23,74.4,2576577
2022-11-02,74.44,76.53,73.69,73.88,2444669
2022-11-03,72.89,73.81,72.31,73.07,1941526
2022-11-04,74.31,75.99,74.18,75.45,1763824
2022-11-07,75.81,76.3,75.44,75.93,1842902
2022-11-08,75.81,77.02,75.163,76.15,2133553
2022-11-09,75.46,76.36,75.08,75.22,1690905
2022-11-10,78.07,80.1,77.958,79.86,2284398
2022-11-11,80.48,82.14,79.97,80.99,2897895
2022-11-14,79.96,81.79,78.79,79,3105263
2022-11-15,79.68,81.515,79.235,79.46,2681351
2022-11-16,79.02,79.935,78.52,78.91,2232264
2022-11-17,77.2,77.345,74.27,74.51,5477219
2022-11-18,75.98,77.01,75.13,75.59,3901036
2022-11-21,75.38,76.77,75.38,76.61,2419490
2022-11-22,77.11,77.88,76.405,76.59,1972829
2022-11-23,76.36,77.68,76.335,77.05,1870751
2022-11-25,77.16,77.68,76.71,77.06,1030808
2022-11-28,76.14,76.235,73.26,73.52,2255809
2022-11-29,73.21,73.98,72.85,73.93,1502615
2022-11-30,79.79,80.45,77.08,79.67,7618948
2022-12-01,79.41,79.41,77.15,78.72,2907180
2022-12-02,77.61,78.57,77.03,77.72,4159038
2022-12-05,77.51,78.02,76,76.24,2284423
2022-12-06,74.89,75.74,73.85,74.36,2581224
2022-12-07,75.03,82.3199,75.03,80.45,6096642
2022-12-08,80.72,81.25,77.711,78.12,2770885
2022-12-09,78,80.11,77.85,79.03,3070927
2022-12-12,78.71,80.5315,78.67,80.26,2790792
2022-12-13,82.2,83.42,81.13,81.33,3751776
2022-12-14,81.14,82.38,79.69,79.89,3860299
2022-12-15,78.38,79.03,77.71,78.26,2909994
2022-12-16,77.36,78.63,76.8,77.7,5120243
2022-12-19,77.45,79.03,77.21,77.56,2387259
2022-12-20,77.88,78.66,77.43,77.99,2300026
